Garment,Split,Normalised Coverage,Max IoU,Colour
Longsleeve,Train,0.583472164439527,0.5266622778143516,"[254, 252, 252]"
Longsleeve,Train,0.6410854243810207,0.4139194139194139,"[155, 212, 164]"
Longsleeve,Train,0.5058729792971112,0.40011580775911987,"[251, 250, 255]"
Longsleeve,Train,0.5714776207175726,0.508456082924168,"[168, 150, 163]"
Longsleeve,Train,0.5353605814301856,0.49144736842105263,"[54, 135, 54]"
Longsleeve,Train,1.0,0.9812925170068028,"[165, 164, 165]"
Longsleeve,Train,1.0,0.9752204955900882,"[216, 198, 130]"
Longsleeve,Train,0.9994783621856488,0.9739413680781759,"[255, 255, 255]"
Longsleeve,Train,0.9997363578247855,0.9482535575679172,"[200, 202, 255]"
Longsleeve,Train,1.0,0.978704123244223,"[163, 223, 173]"
Longsleeve,Train,0.5326470780872429,0.5060024009603842,"[100, 224, 113]"
Longsleeve,Train,0.5270022361300959,0.3601123595505618,"[161, 143, 156]"
Longsleeve,Train,1.0,0.9719321148825065,"[200, 201, 255]"
Longsleeve,Train,0.5198349987386595,0.4923790589794566,"[185, 186, 241]"
Longsleeve,Train,0.4972846465833752,0.46619217081850534,"[129, 137, 145]"
Longsleeve,Train,0.5334849436000685,0.43895486935866984,"[255, 255, 255]"
Longsleeve,Train,0.999415411278692,0.976770538243626,"[255, 255, 255]"
Longsleeve,Train,1.0,0.9759238521836506,"[46, 111, 101]"
Longsleeve,Train,0.607115087244419,0.5666163901458019,"[254, 168, 191]"
Longsleeve,Train,0.4799261265398474,0.45011737089201875,"[106, 130, 62]"
Longsleeve,Train,1.0,0.966183574879227,"[231, 172, 247]"
Longsleeve,Train,0.9996317010811816,0.9450274862568716,"[251, 225, 226]"
Longsleeve,Train,0.6502262491163656,0.6134831460674157,"[65, 60, 63]"
Longsleeve,Train,0.5226088828069612,0.5082063305978898,"[102, 125, 59]"
Longsleeve,Train,0.9998340060512608,0.9704142011834319,"[255, 133, 186]"
Longsleeve,Train,0.6321613271289145,0.5844155844155844,"[56, 141, 56]"
Longsleeve,Train,1.0,0.9869215291750503,"[255, 228, 255]"
Longsleeve,Train,1.0,0.9606965174129353,"[255, 228, 255]"
Longsleeve,Train,0.999989727502231,0.9799541809851088,"[255, 255, 255]"
Longsleeve,Train,0.4708330615896111,0.45246690734055356,"[255, 120, 168]"
Longsleeve,Train,0.4972009607339475,0.48112244897959183,"[133, 142, 151]"
Longsleeve,Train,1.0,0.9858356940509915,"[255, 255, 255]"
Longsleeve,Train,0.6421578648125355,0.5957336108220603,"[12, 42, 67]"
Longsleeve,Train,0.5082401025416824,0.4554794520547945,"[156, 100, 155]"
Longsleeve,Train,0.7371049753902621,0.6119078661451542,"[66, 60, 64]"
Longsleeve,Train,0.5651639085294871,0.251131221719457,"[41, 99, 90]"
Longsleeve,Train,0.6173248879350006,0.5760517799352751,"[255, 221, 230]"
Longsleeve,Train,0.6576656963515619,0.5444925444925445,"[251, 215, 241]"
Longsleeve,Train,0.9993685347105229,0.9586776859504132,"[255, 133, 186]"
Longsleeve,Train,0.5113023749473423,0.484375,"[255, 212, 222]"
Longsleeve,Train,1.0,0.9462435233160622,"[200, 201, 255]"
Longsleeve,Train,0.49179443664569755,0.460332541567696,"[252, 250, 249]"
Longsleeve,Train,1.0,0.9749121926743602,"[255, 228, 255]"
Longsleeve,Train,0.578909866563783,0.4801078894133513,"[193, 204, 203]"
Longsleeve,Train,0.5307234922695042,0.46750788643533125,"[171, 146, 133]"
Longsleeve,Train,0.6067495985995618,0.46452271567126086,"[183, 172, 178]"
Longsleeve,Train,0.540016049390475,0.5181286549707602,"[106, 130, 62]"
Longsleeve,Train,0.5846455099469188,0.5472350230414746,"[253, 253, 255]"
Longsleeve,Train,0.9999993166755136,0.9649021864211738,"[112, 138, 66]"
Longsleeve,Train,0.6139383414952225,0.549757934373319,"[221, 163, 235]"
Longsleeve,Train,0.5294431753840337,0.4857288481141692,"[195, 181, 175]"
Longsleeve,Train,0.6398537204893446,0.5338299193047796,"[184, 156, 142]"
Longsleeve,Train,0.9985046798599049,0.970504821327283,"[71, 146, 136]"
Longsleeve,Train,0.6945031975849947,0.5973111395646606,"[255, 255, 255]"
Longsleeve,Train,0.5726475631533443,0.15953109072375127,"[140, 149, 158]"
